rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
1,So You Want to Talk about Race,,2018,AUDIOBOOK,9.78198E+12,Nonfiction,Blackstone Publishing,Ijeoma Oluo,,FALSE,5,2.49,FALSE
2,The Yellow House,,2019,EBOOK,9.7808E+12,"Biography & Autobiography, Personal Memoirs",Grove Atlantic,Sarah M. Broom,,FALSE,4,2.49,FALSE
3,Stamped from the Beginning,,2017,AUDIOBOOK,9.78152E+12,History,Novel Audio,Ibram X. Kendi,,FALSE,4,2.99,FALSE
4,The Ballad of Songbirds and Snakes,,2020,AUDIOBOOK,9.78134E+12,"Children's, Sci-Fi & Fantasy",Scholastic Audiobooks,Suzanne Collins,,FALSE,4,2.69,TRUE
5,Don't Let The Pigeon Stay Up Late,,2011,MOVIE,,Children's,Weston Woods,Mo Willems,NRC,FALSE,3,0.99,TRUE
6,Just Mercy,,2019,MOVIE,,Drama,Warner Bros.,Michael B. Jordan,PG13,FALSE,3,,FALSE
7,Duckling Gets a Cookie!?,,2014,MOVIE,,"Children's, Comedy","Weston Woods Studios, Inc",Mo Willems,NRC,FALSE,3,0.99,TRUE
8,Let Justice Roll Down,,2017,AUDIOBOOK,9.78162E+12,Religious,Oasis Audio,John M. Perkins,,FALSE,3,1.49,FALSE
9,Stealing Home,,2020,AUDIOBOOK,9.78166E+12,Romance,"Dreamscape Media, LLC",Sherryl Woods,,FALSE,3,2.99,FALSE
10,The New Jim Crow,,2020,EBOOK,9.78162E+12,"Civil Rights, Criminal Law, Criminology, Law, Political Science, Social Science",The New Press,Michelle Alexander,,FALSE,2,1.99,FALSE
11,The Good Neighbor,,2018,AUDIOBOOK,9.78162E+12,Biography,Oasis Audio,Maxwell King,,FALSE,2,2.49,FALSE
12,Appalachian Trail,,2009,MOVIE,,"Nature, Science, Travel",National Geographic,,NRC,FALSE,2,0.99,FALSE
13,Void Moon,,2005,AUDIOBOOK,9.78159E+12,Action & Adventure,Hachette Audio,Michael Connelly,,FALSE,2,3.29,FALSE
14,Being Mortal,,2014,AUDIOBOOK,9.78143E+12,Health & Fitness,Macmillan Audio,Atul Gawande,,FALSE,2,3.99,FALSE
15,Divide and Conquer,,2012,AUDIOBOOK,9.78134E+12,Teen,Scholastic,Carrie Ryan,,FALSE,2,1.29,FALSE
16,Ella Enchanted,,2004,MOVIE,,"Comedy, Family, Sci-Fi & Fantasy",Miramax,Anne Hathaway,PG,FALSE,2,2.98,TRUE
