rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
1,The Sea of Trees,,2016,MOVIE,,"Drama, Suspense / Thriller",A24,Matthew McConaughey,PG13,FALSE,5,1.98,FALSE
2,The Daughter In Law,,2019,AUDIOBOOK,9.78184E+12,Mystery,Boldwood Books,Nina Manning,,FALSE,4,1.99,FALSE
3,Pete the Cat and the Missing Cupcakes,,2016,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperCollins,James Dean,,FALSE,4,0.49,TRUE
4,The Keeper of Lost Things,,2017,EBOOK,9.78006E+12,"Fiction, Literary, Magical Realism, Women",HarperCollins Publishers,Ruth Hogan,,FALSE,4,1.99,FALSE
5,The Screwtape Letters,,2012,AUDIOBOOK,9.78006E+12,Christian Non-Fiction,HarperAudio,C. S. Lewis,,FALSE,3,3.99,FALSE
6,Then She Was Gone,,2018,AUDIOBOOK,9.78152E+12,Fiction,"Dreamscape Media, LLC",Lisa Jewell,,FALSE,3,2.99,FALSE
7,Gone by Midnight,,2020,AUDIOBOOK,9.78125E+12,Mystery,Macmillan Audio,Candice Fox,,FALSE,3,3.99,FALSE
8,The Dream Of You,,2018,AUDIOBOOK,9.78152E+12,Religious,"Dreamscape Media, LLC",Jo Saxton,,FALSE,3,2.99,FALSE
9,"Girl, Stop Apologizing",,2019,AUDIOBOOK,9.7814E+12,Self Help,HarperCollins Leadership,Rachel Hollis,,FALSE,3,3.99,FALSE
10,The Mouse and the Motorcycle,,2007,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,3,2.49,TRUE
11,Minimalist Home Secrets,,2020,AUDIOBOOK,9.78152E+12,Living,Author's Republic,Grace Burke,,FALSE,3,1.29,FALSE
12,Dirty Sexy Saint,,2019,AUDIOBOOK,9.78109E+12,Romance,Findaway Voices,Carly Phillips,,FALSE,3,1.49,FALSE
13,13 Gifts,,2011,AUDIOBOOK,9.78134E+12,"Children's, Comedy",Scholastic,Wendy Mass,,FALSE,2,1.99,TRUE
14,The Girls with No Names,,2020,AUDIOBOOK,9.78149E+12,Fiction,Harlequin Audio,Serena Burdick,,FALSE,2,3.99,FALSE
15,Eight Perfect Murders,,2020,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Peter Swanson,,FALSE,2,3.99,FALSE
16,The Alienist,,1994,AUDIOBOOK,9.78074E+12,Fiction,Simon & Schuster Audio,Caleb Carr,,FALSE,2,3.99,FALSE
17,Hamilton (Original Broadway Cast Recording),,2015,MUSIC,,Soundtrack,Atlantic Records,Various Artists,,TRUE,2,1.99,FALSE
18,Wrecking Ball,,2019,EBOOK,9.78168E+12,"Comics & Graphic Novels, Humorous Stories, Juvenile Fiction",Abrams,Jeff Kinney,,FALSE,2,0.69,TRUE
19,The Shape Of Water (Original Motion Picture Soundtrack),,2017,MUSIC,,Soundtrack,Twentieth Century Fox Film Corporation,Various Artists,,FALSE,2,1.49,FALSE
20,iLike Jake,iCarly - Season 1,2007,TELEVISION,,Children's,Nickelodeon,,TVG,FALSE,2,1.99,TRUE
21,Donnie Mcclurkin Smooth Jazz Tribute,,2007,MUSIC,,Jazz,CC Entertainment,Smooth Jazz All Stars,,FALSE,2,1.49,FALSE
22,Return to King Solomon's Mines,,2006,MOVIE,,"Action & Adventure, Sci-Fi & Fantasy",Electric Entertainment,Noah Wyle,NRC,FALSE,2,1.99,FALSE
23,Dying to Tell,,2020,AUDIOBOOK,9.78169E+12,"Action & Adventure, Mystery","Dreamscape Media, LLC",Keri Beevis,,FALSE,2,2.99,FALSE
24,Never Split the Difference,,2016,AUDIOBOOK,9.78006E+12,Business,HarperAudio,Chris Voss,,FALSE,2,3.99,FALSE
25,The Thirst,,2006,MOVIE,,"Horror, Vampires",Lionsgate,Matt Keeslar,NRA,FALSE,2,2.99,FALSE
26,Under the Greenwood Tree,,2005,MOVIE,,Drama,BBC Studios,Keeley Hawes,NRC,FALSE,2,1.99,FALSE
27,the mermaid's voice returns in this one,,2019,EBOOK,9.78152E+12,"American, Love & Erotica, Poetry, Subjects & Themes",Andrews McMeel,Amanda Lovelace,,FALSE,2,0.49,FALSE
28,Failure to Launch,,2006,MOVIE,,Comedy,Paramount Pictures,Matthew McConaughey,PG13,FALSE,2,2.99,FALSE
29,Evidence of Mercy,,2008,AUDIOBOOK,9.78031E+12,Mystery,Zondervan,Terri Blackstock,,FALSE,2,3.99,FALSE
30,The Great Escape,Impractical Jokers - Season 3,2011,TELEVISION,,"Comedy, Reality TV",truTV,Sal Vulcano,TV14,FALSE,2,0.99,FALSE
31,Masters of War: History's Greatest Strategic Thinkers,,2012,AUDIOBOOK,9.78168E+12,History,The Great Courses,Andrew R. Wilson,,FALSE,2,3.99,FALSE
32,Look Out Below,Impractical Jokers - Season 3,2011,TELEVISION,,"Comedy, Reality TV",truTV,Sal Vulcano,TV14,FALSE,2,0.99,FALSE
33,She's All That,,1999,MOVIE,,"Comedy, Romance",Miramax,"Freddie Prinze, Jr.",PG13,FALSE,2,2.98,FALSE
34,Zodiac,,2007,MOVIE,,Drama,Paramount Pictures,Jake Gyllenhaal,R,FALSE,2,2.99,FALSE
35,A Fancy Piece of Homicide,,2019,MOVIE,,,"Dreamscape Media, LLC",Karen Baum,NRA,FALSE,2,,FALSE
36,Sign of the Moon,,2011,AUDIOBOOK,9.78006E+12,Action & Adventure,HarperCollins,Erin Hunter,,FALSE,2,3.99,FALSE
37,Emotional Intelligence,,2003,AUDIOBOOK,9.78159E+12,Self Help,Macmillan Audio,Daniel Goleman,,FALSE,2,2.69,FALSE
38,Fading Echoes,,2010,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Erin Hunter,,FALSE,2,3.99,TRUE
39,10 Things We Should Do Before We Break Up,,2020,MOVIE,,"Drama, Romance",Vision Films,Christina Ricci,NRA,FALSE,2,1.99,FALSE
40,Unfu*k Yourself,,2017,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,Gary John Bishop,,FALSE,2,3.99,FALSE
41,The Woman in the Window,,2018,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,A. J. Finn,,FALSE,2,3.99,FALSE
42,F*ck Marriage,,2020,AUDIOBOOK,9.78169E+12,"Fiction, Romance","Dreamscape Media, LLC",Tarryn Fisher,,FALSE,2,2.99,FALSE
43,Elmo's Potty Time,,2010,MOVIE,,Children's,Cinedigm,Kevin Clash,NRC,FALSE,2,2.99,TRUE
44,Night Whispers,,2010,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Erin Hunter,,FALSE,2,3.99,TRUE
45,The Good Lord Bird,,2013,AUDIOBOOK,9.78162E+12,Drama,"Dreamscape Media, LLC",James McBride,,FALSE,2,2.99,FALSE
46,The Wives,,2019,AUDIOBOOK,9.78149E+12,Mystery,Harlequin Audio,Tarryn Fisher,,FALSE,2,3.99,FALSE
47,"Girl, Wash Your Face",,2018,AUDIOBOOK,9.7814E+12,Christian Living,Thomas Nelson,Rachel Hollis,,FALSE,2,3.99,FALSE
48,Frozen 2 Read-Along Storybook,,2019,EBOOK,9.78137E+12,"Fairy Tales & Folklore, Family, Juvenile Fiction, Media Tie-in, Siblings",Disney Book Group,Various Authors,,FALSE,2,0.99,TRUE
49,"Sorry I'm Late, I Didn't Want to Come",,2019,AUDIOBOOK,9.78152E+12,Comedy,Andrews McMeel,Jessica Pan,,FALSE,2,2.99,FALSE
50,The Fourth Apprentice,,2009,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Erin Hunter,,FALSE,2,3.99,TRUE
51,The Last Present,,2013,AUDIOBOOK,9.78134E+12,"Children's, Comedy",Scholastic,Wendy Mass,,FALSE,2,1.69,TRUE
52,Before 1776: Life in the American Colonies,,2009,AUDIOBOOK,9.78168E+12,History,The Great Courses,Robert J. Allison,,FALSE,2,3.99,FALSE
53,Atomic Habits by James Clear - A Summary,,2019,AUDIOBOOK,9.78198E+12,Self Help,Author's Republic,Best Self Audio,,FALSE,2,0.69,FALSE
54,Boundaries,,2018,AUDIOBOOK,9.78031E+12,Christian Living,Zondervan,Henry Cloud,,FALSE,2,3.99,FALSE
55,An Uncommon Woman,,2020,EBOOK,9.78149E+12,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Laura Frantz,,FALSE,2,0.79,FALSE
56,The Runaway Bride,,2020,EBOOK,9.78149E+12,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Jody Hedlund,,FALSE,2,0.79,FALSE
57,The Louvre,,1978,MOVIE,,"Award Winning, Documentary",Monterey,Sidney Carroll,NRT,FALSE,2,1.49,FALSE
58,The Things We Cannot Say,,2019,AUDIOBOOK,9.78149E+12,Fiction,Harlequin Audio,Kelly Rimmer,,FALSE,2,3.99,FALSE
59,The Bible Tells Me So,,2015,AUDIOBOOK,9.78149E+12,Religious,Tantor Audio,Peter Enns,,FALSE,1,1.64,FALSE
60,Requiems - The Themes of FullMetal Alchemist,,2011,MUSIC,,Soundtrack,SFO,Harajuku Nation,,FALSE,1,1.49,FALSE
61,Graceful,,2015,AUDIOBOOK,9.78134E+12,"Children's, Comedy",Scholastic,Wendy Mass,,FALSE,1,1.49,TRUE
62,That Old Black Magic,,2010,EBOOK,9.78157E+12,"Biography & Autobiography, Genres & Styles, Music, Music, Pop Vocal",Chicago Review Press,Tom Clavin,,FALSE,1,1.99,FALSE
63,From Time To Time,,2011,MOVIE,,"Action & Adventure, Drama, Family Relations, Sci-Fi, Sci-Fi & Fantasy, Time Travel",Freestyle Digital Media,Maggie Smith,PG,FALSE,1,1.99,FALSE
64,Master Your Goals,,2015,AUDIOBOOK,9.78147E+12,Business,Gildan Audio,Zig Ziglar,,FALSE,1,1.64,FALSE
65,Locke & Key Vol 2: Head Games,,2012,COMIC,9.7816E+12,"Horror, Mystery",IDW Publishing,Joe Hill,M,FALSE,1,1.39,FALSE
