rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
1,Harry Potter and the Sorcerer's Stone,,2015,AUDIOBOOK,9.78178E+12,"Children's, Sci-Fi & Fantasy",Pottermore Publishing,J. K. Rowling,,FALSE,6,,TRUE
2,The Tattooist of Auschwitz,,2018,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Heather Morris,,FALSE,3,2.99,FALSE
3,What We Do in the Shadows,,2015,MOVIE,,Comedy,1091 Media,Jemaine Clement,R,FALSE,3,1.99,FALSE
4,The Longest Week,,2013,MOVIE,,,Gravitas Ventures,Jason Bateman,PG13,FALSE,3,,FALSE
5,Living on One Dollar,,2013,MOVIE,,,Gravitas Ventures,Chris Temple,NRT,FALSE,3,,FALSE
6,Twisting the Truth Participant's Guide,,2009,EBOOK,9.78031E+12,"Adult, Christian Education, Religion",Zondervan,Andy Stanley,,FALSE,3,1.19,FALSE
7,The Good Neighbors,,2020,AUDIOBOOK,9.78169E+12,Mystery,"Dreamscape Media, LLC",Kiersten Modglin,,FALSE,3,2.99,FALSE
8,Anne Frank,,2019,AUDIOBOOK,9.78198E+12,"Children's, History",Author's Republic,Anne Frank,,FALSE,3,,TRUE
9,Avengers by Jason Aaron Vol. 1: The Final Host,,2019,COMIC,9.7813E+12,"Media Tie-In, Superhero, Teen",Marvel Entertainment,Jason Aaron,T,FALSE,3,,FALSE
10,Northanger Abbey,,2008,MOVIE,,"Drama, Romance, Romantic",PBS,Felicity Jones,NRC,FALSE,3,1.99,FALSE
11,Valentine,,2020,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Elizabeth Wetmore,,FALSE,3,2.99,FALSE
12,Color Out of Space,,2020,MOVIE,,Sci-Fi & Fantasy,RLJE Films,Nicolas Cage,NRA,FALSE,3,1.99,FALSE
13,Graceful,,2015,AUDIOBOOK,9.78134E+12,"Children's, Comedy",Scholastic,Wendy Mass,,FALSE,2,1.49,TRUE
14,The Fifth Avenue Story Society,,2020,EBOOK,9.78031E+12,"Christian, Clean & Wholesome, Contemporary, Fiction, Romance, Romance, Women",Thomas Nelson,Rachel Hauck,,FALSE,2,1.99,FALSE
15,"I Survived the Attack of the Grizzlies, 1967",,2018,AUDIOBOOK,9.78134E+12,Children's,Scholastic,Lauren Tarshis,,FALSE,2,,TRUE
